Severity,Start_Time,Year,Month,Weekday,Hour,State,City,Weather_Condition,Temperature_F,Humidity_pct,Visibility_mi,Wind_Speed_mph,Precipitation_in,Sunrise_Sunset,Distance_mi
2,2017-07-03 14:19:22,2017,7,Monday,14,CA,Riverside,Clear,93.9,18.0,10.0,6.9,,Day,0.0
2,2017-07-03 15:26:31,2017,7,Monday,15,TX,Houston,Clear,95.0,47.0,10.0,8.1,,Day,0.0
2,2017-07-03 15:26:40,2017,7,Monday,15,IL,Roselle,Mostly Cloudy,78.1,58.0,10.0,12.7,,Day,0.0
2,2017-07-03 16:28:46,2017,7,Monday,16,NC,Kannapolis,Thunderstorms and Rain,82.4,70.0,4.0,11.5,,Day,0.4320000000000001
2,2017-07-03 16:51:16,2017,7,Monday,16,CA,Sacramento,Clear,90.0,17.0,10.0,12.7,,Day,0.496
2,2017-07-03 17:51:16,2017,7,Monday,17,SC,Gaston,Rain,75.9,91.0,4.0,4.6,0.2,Day,2.326
3,2017-07-03 19:45:00,2017,7,Monday,19,CA,San Diego,Partly Cloudy,71.1,73.0,10.0,8.1,,Day,0.0
3,2017-07-03 20:21:15,2017,7,Monday,20,RI,Providence,Partly Cloudy,79.0,50.0,10.0,4.6,,Day,1.4340000000000002
2,2017-07-03 21:09:56,2017,7,Monday,21,CA,Pittsburg,Clear,66.9,57.0,10.0,9.2,,Night,0.0
2,2017-07-03 21:11:28,2017,7,Monday,21,IL,Decatur,Clear,79.0,60.0,10.0,5.8,,Night,0.0
3,2017-07-03 21:40:11,2017,7,Monday,21,MA,Bridgewater,Clear,64.0,80.0,10.0,,,Night,0.0
2,2017-07-04 04:21:15,2017,7,Tuesday,4,CA,Anaheim,Clear,64.9,87.0,9.0,,,Night,0.31
2,2017-07-04 07:35:27,2017,7,Tuesday,7,SC,Saluda,Overcast,71.6,94.0,2.0,,,Day,0.0
2,2017-07-04 10:21:14,2017,7,Tuesday,10,MO,Grandview,Rain,69.1,100.0,4.0,5.8,0.39,Day,0.0
2,2017-07-04 12:22:45,2017,7,Tuesday,12,FL,Pompano Beach,Clear,88.0,67.0,10.0,11.5,,Day,0.845
2,2017-07-04 13:38:25,2017,7,Tuesday,13,TX,Houston,Clear,95.0,44.0,10.0,5.8,,Day,0.0
3,2017-07-04 13:53:38,2017,7,Tuesday,13,TX,Balch Springs,Clear,87.8,58.0,10.0,12.7,,Day,0.0
2,2017-07-04 13:57:41,2017,7,Tuesday,13,TX,Austin,Partly Cloudy,96.1,41.0,10.0,,,Day,0.0
4,2017-07-04 16:00:59,2017,7,Tuesday,16,UT,Ogden,Clear,95.0,11.0,10.0,4.6,,Day,0.096
2,2017-07-04 18:41:22,2017,7,Tuesday,18,TX,Austin,Clear,94.6,36.0,10.0,10.4,,Day,0.0
4,2017-07-04 18:56:30,2017,7,Tuesday,18,OR,Hubbard,Clear,84.9,29.0,10.0,3.5,,Day,1.311
2,2017-07-04 19:02:37,2017,7,Tuesday,19,NY,East Quogue,Clear,79.0,44.0,10.0,4.6,,Day,0.0
2,2017-07-05 00:50:30,2017,7,Wednesday,0,FL,Madison,Clear,77.0,94.0,10.0,,,Night,0.58
3,2017-07-05 01:00:59,2017,7,Wednesday,1,TN,Nashville,Scattered Clouds,73.9,91.0,4.0,,,Night,0.121
3,2017-07-05 02:48:14,2017,7,Wednesday,2,NJ,Edison,Clear,73.2,55.0,10.0,,,Night,0.058
3,2017-07-05 05:49:29,2017,7,Wednesday,5,CA,Claremont,Scattered Clouds,64.4,73.0,1.0,5.8,,Day,0.0
2,2017-07-05 07:04:09,2017,7,Wednesday,7,CA,Hughson,Clear,66.0,59.0,10.0,6.9,,Day,0.0
2,2017-07-05 07:44:30,2017,7,Wednesday,7,NJ,Elizabethport,Mostly Cloudy,75.0,57.0,10.0,6.9,,Day,2.908
2,2017-07-05 07:49:46,2017,7,Wednesday,7,IA,Ankeny,Clear,69.8,94.0,8.0,,,Day,1.217
2,2017-07-05 07:58:45,2017,7,Wednesday,7,NC,Charlotte,Fog,72.0,93.0,0.5,,,Day,0.389
2,2017-07-05 08:15:59,2017,7,Wednesday,8,KY,Erlanger,Overcast,72.0,93.0,5.0,5.8,,Day,0.29
3,2017-07-05 08:27:06,2017,7,Wednesday,8,CA,Pleasanton,Scattered Clouds,,,8.0,,,Day,0.0
3,2017-07-05 08:41:57,2017,7,Wednesday,8,NY,Flushing,Mostly Cloudy,72.0,68.0,10.0,10.4,,Day,0.0
3,2017-07-05 09:00:41,2017,7,Wednesday,9,TX,Houston,Partly Cloudy,86.0,72.0,10.0,10.4,,Day,0.0
2,2017-07-05 09:23:40,2017,7,Wednesday,9,MA,Lexington,Clear,72.0,57.0,10.0,,,Day,0.0
2,2017-07-05 09:29:57,2017,7,Wednesday,9,CA,Covina,Clear,78.8,44.0,2.0,5.8,,Day,0.0
2,2017-07-05 09:41:32,2017,7,Wednesday,9,TX,Houston,Mostly Cloudy,86.0,70.0,10.0,,,Day,0.398
3,2017-07-05 09:53:27,2017,7,Wednesday,9,CA,Mission Viejo,Scattered Clouds,73.0,68.0,10.0,8.1,,Day,0.0
2,2017-07-05 10:01:25,2017,7,Wednesday,10,IL,Downers Grove,Mostly Cloudy,81.0,42.0,10.0,6.9,,Day,0.0
2,2017-07-05 11:23:16,2017,7,Wednesday,11,TX,Humble,Scattered Clouds,89.1,61.0,10.0,3.5,,Day,0.0
2,2017-07-05 11:33:00,2017,7,Wednesday,11,CA,Placerville,Clear,86.0,29.0,10.0,6.9,,Day,0.0
3,2017-07-05 11:36:35,2017,7,Wednesday,11,CA,Hayward,Clear,66.9,59.0,10.0,11.5,,Day,0.0
3,2017-07-05 12:04:03,2017,7,Wednesday,12,MI,Standish,Clear,79.5,36.0,10.0,4.6,,Day,0.0
4,2017-07-05 12:13:48,2017,7,Wednesday,12,FL,Wildwood,Fair,90.0,57.0,10.0,3.0,0.0,Day,0.412
2,2017-07-05 12:27:59,2017,7,Wednesday,12,NY,Woodside,Mostly Cloudy,78.1,64.0,10.0,15.0,,Day,0.281
2,2017-07-05 13:03:15,2017,7,Wednesday,13,WA,Seattle,Partly Cloudy,77.0,42.0,10.0,8.1,,Day,0.0
2,2017-07-05 13:30:37,2017,7,Wednesday,13,PA,Fort Washington,Overcast,78.8,57.0,10.0,3.5,,Day,0.0
2,2017-07-05 13:44:27,2017,7,Wednesday,13,NJ,Bloomfield,Overcast,82.9,44.0,10.0,10.4,,Day,0.0
3,2017-07-05 15:24:04,2017,7,Wednesday,15,CA,Tustin,Scattered Clouds,79.0,52.0,10.0,10.4,,Day,0.0
2,2017-07-05 16:39:59,2017,7,Wednesday,16,NC,Charlotte,Mostly Cloudy,91.0,52.0,10.0,8.1,,Day,0.0
2,2017-07-05 16:50:32,2017,7,Wednesday,16,NC,Kannapolis,Scattered Clouds,91.4,46.0,10.0,5.8,,Day,0.485
2,2017-07-05 17:05:32,2017,7,Wednesday,17,MN,Saint Paul,Partly Cloudy,89.1,53.0,10.0,8.1,,Day,0.642
2,2017-07-05 17:17:33,2017,7,Wednesday,17,NC,Charlotte,Scattered Clouds,91.4,46.0,10.0,5.8,,Day,0.097
3,2017-07-05 17:37:42,2017,7,Wednesday,17,WA,Spokane,Clear,95.0,16.0,10.0,3.5,,Day,0.0
2,2017-07-05 17:52:15,2017,7,Wednesday,17,WA,Spokane,Clear,95.0,16.0,10.0,3.5,,Day,0.0
3,2017-07-05 18:52:12,2017,7,Wednesday,18,CA,Temecula,Clear,82.4,42.0,10.0,10.4,,Day,0.0
4,2017-07-05 23:07:45,2017,7,Wednesday,23,CA,Bakersfield,Clear,88.0,32.0,10.0,,,Night,1.121
3,2017-07-06 02:39:14,2017,7,Thursday,2,TN,Nashville,Rain,71.1,93.0,3.0,4.6,0.08,Night,0.5429999999999999
3,2017-07-06 04:21:11,2017,7,Thursday,4,CA,San Diego,Scattered Clouds,66.0,75.0,6.0,3.5,,Night,0.0
2,2017-07-06 05:03:30,2017,7,Thursday,5,PA,Harleysville,Overcast,68.0,90.0,10.0,,,Night,0.0
2,2017-07-06 05:50:04,2017,7,Thursday,5,TX,Dallas,Mostly Cloudy,73.9,91.0,10.0,4.6,,Night,0.0
2,2017-07-06 06:33:56,2017,7,Thursday,6,CA,San Jose,Partly Cloudy,60.1,86.0,10.0,3.5,,Day,0.0
2,2017-07-06 06:56:31,2017,7,Thursday,6,IN,Demotte,Scattered Clouds,69.8,83.0,10.0,,,Day,0.199
2,2017-07-06 07:59:42,2017,7,Thursday,7,NJ,Lambertville,Overcast,70.0,84.0,10.0,4.6,,Day,0.0
3,2017-07-06 09:01:23,2017,7,Thursday,9,CA,Long Beach,Clear,72.0,71.0,9.0,4.6,,Day,0.0
2,2017-07-06 09:45:14,2017,7,Thursday,9,PA,Hanover,Overcast,72.0,93.0,10.0,6.9,,Day,0.0
2,2017-07-06 10:44:30,2017,7,Thursday,10,CA,Somis,Clear,78.1,60.0,10.0,6.9,,Day,0.0
2,2017-07-06 11:11:31,2017,7,Thursday,11,AZ,Phoenix,Clear,91.9,32.0,10.0,4.6,,Day,0.0
2,2017-07-06 11:16:21,2017,7,Thursday,11,WA,Seattle,Clear,71.1,59.0,10.0,3.5,,Day,0.0
2,2017-07-06 11:44:59,2017,7,Thursday,11,CA,Camarillo,Clear,77.0,62.0,10.0,11.5,,Day,0.0
2,2017-07-06 11:57:21,2017,7,Thursday,11,IL,Elgin,Clear,84.9,61.0,9.0,3.5,,Day,0.0
3,2017-07-06 13:43:15,2017,7,Thursday,13,TX,Houston,Mostly Cloudy,91.9,54.0,10.0,3.5,,Day,0.0
2,2017-07-06 13:46:38,2017,7,Thursday,13,CA,Jamestown,Clear,100.4,16.0,,4.6,,Day,0.0
2,2017-07-06 14:06:52,2017,7,Thursday,14,NY,Rhinebeck,Scattered Clouds,79.0,48.0,10.0,9.2,,Day,0.0
2,2017-07-06 16:08:21,2017,7,Thursday,16,CT,Stamford,Clear,75.0,53.0,10.0,9.2,,Day,0.0
3,2017-07-06 16:30:32,2017,7,Thursday,16,NY,West Nyack,Clear,75.9,54.0,10.0,6.9,,Day,1.3400000333786009
2,2017-07-06 16:31:12,2017,7,Thursday,16,NY,Lagrangeville,Clear,77.0,52.0,10.0,5.8,,Day,0.0
3,2017-07-06 16:31:49,2017,7,Thursday,16,TX,San Antonio,Scattered Clouds,98.1,35.0,10.0,8.1,,Day,0.0
2,2017-07-06 16:42:53,2017,7,Thursday,16,CA,Los Angeles,Clear,81.0,50.0,10.0,,,Day,0.0
2,2017-07-06 16:57:18,2017,7,Thursday,16,CA,Sacramento,Clear,100.4,14.0,10.0,5.8,,Day,0.443
3,2017-07-06 18:18:57,2017,7,Thursday,18,TX,Fort Worth,Scattered Clouds,93.2,49.0,10.0,5.8,,Day,0.0
3,2017-07-06 18:22:32,2017,7,Thursday,18,TX,Dallas,Mostly Cloudy,88.0,53.0,10.0,,,Day,0.0
3,2017-07-06 19:27:27,2017,7,Thursday,19,PA,Philadelphia,Light Rain,73.0,90.0,10.0,11.5,0.0,Day,0.8299999833106995
3,2017-07-07 06:37:06,2017,7,Friday,6,NY,Selkirk,Overcast,66.9,66.0,10.0,4.6,0.0,Day,0.0
3,2017-07-07 07:22:53,2017,7,Friday,7,PA,Harrisburg,Rain,70.0,90.0,3.0,5.8,0.03,Day,0.0
2,2017-07-07 08:21:51,2017,7,Friday,8,MI,Detroit,Scattered Clouds,68.0,93.0,9.0,6.9,0.02,Day,0.0
2,2017-07-07 08:59:05,2017,7,Friday,8,TX,Austin,Clear,79.0,82.0,10.0,4.6,,Day,0.0
2,2017-07-07 09:07:48,2017,7,Friday,9,CA,Alamo,Clear,75.0,50.0,10.0,,,Day,0.104
3,2017-07-07 09:46:47,2017,7,Friday,9,TX,Austin,Mostly Cloudy,80.1,85.0,10.0,3.5,,Day,0.0
2,2017-07-07 10:33:48,2017,7,Friday,10,WA,Seattle,Scattered Clouds,66.9,61.0,10.0,9.2,,Day,0.0
2,2017-07-07 10:34:46,2017,7,Friday,10,AZ,Cibola,Clear,108.0,13.0,10.0,,,Day,0.0
3,2017-07-07 11:28:07,2017,7,Friday,11,NJ,Carteret,Heavy Rain,69.3,93.0,1.5,,0.11,Day,0.0
3,2017-07-07 11:46:10,2017,7,Friday,11,TX,Lancaster,Scattered Clouds,90.3,56.0,10.0,5.8,,Day,0.0
2,2017-07-07 12:10:45,2017,7,Friday,12,IL,Villa Park,Overcast,84.0,56.0,10.0,6.9,,Day,0.0
2,2017-07-07 14:04:25,2017,7,Friday,14,CT,Greenwich,Mostly Cloudy,73.0,84.0,10.0,9.2,0.0,Day,5.460000038146973
2,2017-07-07 15:01:51,2017,7,Friday,15,FL,Fort Lauderdale,Scattered Clouds,82.9,65.0,10.0,10.4,,Day,0.001
2,2017-07-07 15:32:39,2017,7,Friday,15,WI,Milwaukee,Scattered Clouds,75.2,61.0,10.0,9.2,,Day,0.491
3,2017-07-07 16:11:37,2017,7,Friday,16,VA,Norfolk,Light Rain,82.9,74.0,10.0,4.6,0.0,Day,0.15
3,2017-07-07 16:41:47,2017,7,Friday,16,NE,Omaha,Clear,82.8,47.0,10.0,3.5,,Day,0.0
2,2017-07-07 16:46:47,2017,7,Friday,16,CA,Davis,Clear,107.6,10.0,10.0,5.8,,Day,0.0
2,2017-07-07 17:10:37,2017,7,Friday,17,NY,Yonkers,Scattered Clouds,78.1,64.0,10.0,9.2,,Day,0.1899999976158142
3,2017-07-07 17:35:37,2017,7,Friday,17,PA,Wayne,Scattered Clouds,82.4,62.0,10.0,6.9,,Day,0.333
3,2017-07-07 17:56:24,2017,7,Friday,17,TX,San Antonio,Clear,93.0,44.0,10.0,13.8,,Day,0.0
2,2017-07-07 18:23:32,2017,7,Friday,18,CA,Blythe,Mostly Cloudy,118.0,7.0,10.0,5.8,,Day,0.434
2,2017-07-07 19:13:45,2017,7,Friday,19,AZ,Phoenix,Mostly Cloudy,113.0,9.0,10.0,5.8,,Day,0.943
2,2017-07-07 19:30:59,2017,7,Friday,19,NJ,Blackwood,Mostly Cloudy,84.0,56.0,10.0,11.5,,Day,1.01
2,2017-07-07 19:42:59,2017,7,Friday,19,CA,Salinas,Clear,68.0,55.0,9.0,12.7,,Day,0.046
4,2017-07-07 23:30:59,2017,7,Friday,23,MD,Lutherville Timonium,,81.0,60.0,,,,Night,1.4580000000000002
3,2017-07-08 00:33:45,2017,7,Saturday,0,CA,Oakland,Clear,64.0,75.0,10.0,4.6,,Night,0.0
2,2017-07-08 10:17:30,2017,7,Saturday,10,GA,Atlanta,Clear,80.1,76.0,10.0,6.9,,Day,0.0
3,2017-07-08 12:07:24,2017,7,Saturday,12,CA,Mission Viejo,Mostly Cloudy,82.0,58.0,10.0,10.4,,Day,0.0
4,2017-07-08 13:15:59,2017,7,Saturday,13,GA,Buckhead,Scattered Clouds,89.6,55.0,10.0,8.1,,Day,6.68
3,2017-07-08 17:10:37,2017,7,Saturday,17,TX,Dallas,Mostly Cloudy,93.2,44.0,13.0,17.3,,Day,0.0
3,2017-07-08 18:20:32,2017,7,Saturday,18,FL,Polk City,Light Rain,81.0,67.0,10.0,19.6,0.0,Day,7.242000000000001
2,2017-07-09 04:29:29,2017,7,Sunday,4,GA,Summerville,Clear,69.1,100.0,8.0,,,Night,0.0
2,2017-07-09 07:48:45,2017,7,Sunday,7,RI,Providence,,,,,,,Day,0.0
2,2017-07-09 11:26:05,2017,7,Sunday,11,CA,Long Beach,Clear,86.0,36.0,10.0,8.1,,Day,0.0
3,2017-07-09 14:41:17,2017,7,Sunday,14,TX,Dallas,Mostly Cloudy,91.9,52.0,10.0,6.9,,Day,0.0
4,2017-07-09 22:33:15,2017,7,Sunday,22,FL,Orlando,Clear,80.1,76.0,10.0,,,Night,1.663
2,2017-07-10 05:39:59,2017,7,Monday,5,IL,Elgin,Rain,66.2,100.0,5.0,10.4,0.11,Day,0.0
2,2017-07-10 06:17:34,2017,7,Monday,6,CA,Westlake Village,Clear,68.0,84.0,9.0,3.5,,Day,0.0
3,2017-07-10 07:24:34,2017,7,Monday,7,FL,Altamonte Springs,Clear,80.1,90.0,10.0,4.6,,Day,0.0
4,2017-07-10 07:44:31,2017,7,Monday,7,PA,Pittsburgh,Scattered Clouds,64.9,75.0,10.0,9.2,,Day,1.626
2,2017-07-10 08:13:49,2017,7,Monday,8,FL,Winter Garden,Clear,80.1,90.0,10.0,4.6,,Day,2.4800000190734863
2,2017-07-10 08:54:18,2017,7,Monday,8,CA,Hayward,Clear,66.0,60.0,10.0,,,Day,0.104
2,2017-07-10 08:55:33,2017,7,Monday,8,CA,San Mateo,Partly Cloudy,64.4,73.0,8.0,3.5,,Day,0.0
2,2017-07-10 09:06:16,2017,7,Monday,9,NC,Charlotte,Scattered Clouds,75.9,85.0,10.0,5.8,,Day,0.0
2,2017-07-10 09:18:52,2017,7,Monday,9,TX,Austin,Clear,82.0,62.0,10.0,4.6,,Day,0.0
2,2017-07-10 09:27:48,2017,7,Monday,9,IL,Libertyville,Clear,72.0,91.0,10.0,8.1,,Day,0.0
2,2017-07-10 09:39:47,2017,7,Monday,9,CA,Concord,Clear,75.9,52.0,10.0,10.4,,Day,0.0
2,2017-07-10 09:53:01,2017,7,Monday,9,NY,Lindenhurst,Clear,78.1,48.0,10.0,9.2,,Day,0.0
3,2017-07-10 11:48:01,2017,7,Monday,11,WA,Tacoma,Overcast,66.2,73.0,10.0,8.1,,Day,0.0
2,2017-07-10 12:59:32,2017,7,Monday,12,CT,Niantic,Clear,78.1,56.0,10.0,9.2,,Day,1.1
2,2017-07-10 13:19:38,2017,7,Monday,13,TX,Houston,Mostly Cloudy,77.0,82.0,10.0,,,Day,0.0
4,2017-07-10 13:53:31,2017,7,Monday,13,CO,Englewood,Scattered Clouds,87.1,22.0,10.0,12.7,,Day,0.458
3,2017-07-10 14:10:56,2017,7,Monday,14,CA,Castro Valley,Clear,75.0,44.0,10.0,13.8,,Day,0.0
2,2017-07-10 14:48:43,2017,7,Monday,14,WA,Seattle,Mostly Cloudy,70.0,61.0,10.0,10.4,,Day,0.0
2,2017-07-10 15:22:48,2017,7,Monday,15,VA,Edinburg,Scattered Clouds,87.8,31.0,10.0,6.9,,Day,0.6920000000000001
4,2017-07-10 15:33:17,2017,7,Monday,15,TN,Bulls Gap,Partly Cloudy,88.0,30.0,10.0,6.0,0.0,Day,1.016
2,2017-07-10 15:48:47,2017,7,Monday,15,TX,Houston,Mostly Cloudy,81.0,77.0,10.0,8.1,,Day,0.0
2,2017-07-10 16:01:15,2017,7,Monday,16,CA,Los Angeles,Clear,84.9,49.0,10.0,6.9,,Day,0.0
2,2017-07-10 16:15:51,2017,7,Monday,16,VA,Washington,Mostly Cloudy,88.0,39.0,10.0,12.7,,Day,0.0
3,2017-07-10 17:25:31,2017,7,Monday,17,IA,Johnston,Scattered Clouds,86.0,62.0,10.0,8.1,,Day,3.2300000190734863
2,2017-07-10 17:31:42,2017,7,Monday,17,FL,Parrish,Light Rain,75.0,87.0,10.0,4.6,0.01,Day,0.0
3,2017-07-10 17:51:22,2017,7,Monday,17,FL,Hollywood,Light Thunderstorms and Rain,78.1,84.0,10.0,,0.14,Day,0.414
2,2017-07-10 20:17:31,2017,7,Monday,20,FL,Orlando,Mostly Cloudy,82.0,76.0,10.0,15.0,,Day,0.0
3,2017-07-11 05:43:57,2017,7,Tuesday,5,FL,Miami,Clear,79.0,94.0,10.0,3.5,,Night,0.0
2,2017-07-11 07:29:12,2017,7,Tuesday,7,NY,New City,Partly Cloudy,73.9,87.0,8.0,4.6,,Day,0.0
3,2017-07-11 08:33:16,2017,7,Tuesday,8,KS,Lenexa,Clear,79.0,84.0,10.0,10.4,,Day,0.7759999999999999
2,2017-07-11 09:16:42,2017,7,Tuesday,9,IL,Lincoln,,,,,9.2,0.02,Day,0.0
3,2017-07-11 09:25:23,2017,7,Tuesday,9,CA,Pomona,Clear,80.6,51.0,10.0,5.8,,Day,0.0
3,2017-07-11 09:28:21,2017,7,Tuesday,9,MI,Warren,Overcast,75.0,87.0,9.0,,,Day,0.0
3,2017-07-11 09:59:31,2017,7,Tuesday,9,RI,Pawtucket,,,,,,,Day,0.0
2,2017-07-11 10:31:27,2017,7,Tuesday,10,CA,San Andreas,Clear,91.4,17.0,8.0,6.9,,Day,0.0
2,2017-07-11 10:42:28,2017,7,Tuesday,10,PA,Mount Joy,Partly Cloudy,82.0,62.0,10.0,9.2,,Day,0.0
2,2017-07-11 11:09:18,2017,7,Tuesday,11,WA,Kent,Mostly Cloudy,62.1,62.0,10.0,5.8,,Day,0.503
2,2017-07-11 11:57:17,2017,7,Tuesday,11,NC,Raleigh,Scattered Clouds,87.1,67.0,10.0,6.9,,Day,0.0
2,2017-07-11 12:06:16,2017,7,Tuesday,12,NM,Gallup,Clear,80.1,34.0,10.0,4.6,,Day,0.398
2,2017-07-11 12:08:15,2017,7,Tuesday,12,MD,Elkton,Partly Cloudy,88.0,57.0,10.0,15.0,,Day,0.0
2,2017-07-11 13:39:19,2017,7,Tuesday,13,FL,Altamonte Springs,Clear,91.9,50.0,10.0,5.8,,Day,2.514
2,2017-07-11 14:34:01,2017,7,Tuesday,14,IA,West des Moines,Mostly Cloudy,93.9,51.0,10.0,10.4,,Day,0.618
3,2017-07-11 15:45:38,2017,7,Tuesday,15,TX,Houston,Scattered Clouds,80.6,74.0,10.0,11.5,,Day,0.0
3,2017-07-11 16:26:38,2017,7,Tuesday,16,IL,Des Plaines,Light Rain,81.0,74.0,10.0,13.8,0.0,Day,0.239
2,2017-07-11 16:59:01,2017,7,Tuesday,16,NE,Omaha,Clear,93.9,54.0,10.0,13.8,,Day,0.0
2,2017-07-11 17:01:44,2017,7,Tuesday,17,NC,Charlotte,Partly Cloudy,89.1,53.0,10.0,5.8,,Day,0.012
3,2017-07-11 17:07:08,2017,7,Tuesday,17,TX,Dallas,Clear,95.0,41.0,10.0,5.8,,Day,0.6
3,2017-07-11 17:22:24,2017,7,Tuesday,17,CA,Long Beach,Clear,84.9,46.0,10.0,11.5,,Day,0.0
2,2017-07-11 17:54:28,2017,7,Tuesday,17,CA,San Jose,Partly Cloudy,78.8,42.0,10.0,13.8,,Day,0.0
4,2017-07-11 19:54:17,2017,7,Tuesday,19,GA,Dry Branch,Clear,84.9,67.0,10.0,4.6,,Day,0.0
2,2017-07-11 20:15:12,2017,7,Tuesday,20,NH,Hollis,Clear,78.1,74.0,10.0,,,Day,0.0
3,2017-07-11 23:09:59,2017,7,Tuesday,23,MN,Fergus Falls,Mostly Cloudy,73.4,88.0,10.0,11.5,,Night,0.94
2,2017-07-12 01:09:28,2017,7,Wednesday,1,CA,Brisbane,Partly Cloudy,57.9,72.0,10.0,8.1,,Night,0.0
3,2017-07-12 06:23:29,2017,7,Wednesday,6,IA,Council Bluffs,Mostly Cloudy,78.8,74.0,10.0,8.1,,Day,9.226
2,2017-07-12 07:52:45,2017,7,Wednesday,7,FL,North Fort Myers,Clear,78.1,93.0,10.0,6.9,,Day,0.0
2,2017-07-12 08:08:33,2017,7,Wednesday,8,CA,Tomales,Clear,57.2,82.0,8.0,3.5,,Day,0.0
2,2017-07-12 08:26:30,2017,7,Wednesday,8,NJ,Union,Mostly Cloudy,80.1,71.0,10.0,12.7,,Day,0.0
2,2017-07-12 08:51:55,2017,7,Wednesday,8,NJ,Newark,Mostly Cloudy,80.1,71.0,10.0,12.7,,Day,0.0
2,2017-07-12 09:35:21,2017,7,Wednesday,9,PA,Fort Washington,Clear,82.4,66.0,10.0,10.4,,Day,0.0
2,2017-07-12 09:54:45,2017,7,Wednesday,9,FL,Fort Myers,Partly Cloudy,84.0,82.0,10.0,6.9,,Day,0.0
2,2017-07-12 10:34:54,2017,7,Wednesday,10,TX,Dallas,Partly Cloudy,88.0,57.0,10.0,9.2,,Day,0.0
2,2017-07-12 10:39:16,2017,7,Wednesday,10,PA,Pottstown,Scattered Clouds,82.0,65.0,9.0,6.9,,Day,0.0
2,2017-07-12 10:40:03,2017,7,Wednesday,10,NV,Las Vegas,Partly Cloudy,100.0,18.0,10.0,10.4,,Day,0.589
2,2017-07-12 11:08:29,2017,7,Wednesday,11,MI,Grand Rapids,Light Thunderstorms and Rain,71.1,90.0,4.0,11.5,0.1,Day,1.209
2,2017-07-12 11:12:18,2017,7,Wednesday,11,IL,Schiller Park,Overcast,71.1,87.0,10.0,12.7,,Day,0.0
3,2017-07-12 11:37:35,2017,7,Wednesday,11,CA,San Francisco,Clear,68.0,59.0,10.0,12.7,,Day,0.0
2,2017-07-12 11:41:29,2017,7,Wednesday,11,CA,Tustin,Partly Cloudy,78.1,64.0,10.0,9.2,,Day,0.028
2,2017-07-12 11:57:40,2017,7,Wednesday,11,TX,Houston,Clear,91.0,53.0,10.0,6.9,,Day,0.0
2,2017-07-12 13:40:05,2017,7,Wednesday,13,CA,Pacoima,Clear,86.0,40.0,10.0,11.5,,Day,0.51
2,2017-07-12 13:52:11,2017,7,Wednesday,13,TX,Houston,Light Thunderstorms and Rain,78.1,87.0,7.0,12.7,0.02,Day,0.0
2,2017-07-12 13:54:18,2017,7,Wednesday,13,FL,Plant City,Scattered Clouds,91.4,59.0,10.0,6.9,,Day,0.066
2,2017-07-12 14:57:19,2017,7,Wednesday,14,FL,Fort Lauderdale,,,,,,,Day,0.0
2,2017-07-12 15:17:29,2017,7,Wednesday,15,CA,San Rafael,Clear,80.6,45.0,10.0,9.2,,Day,0.1
2,2017-07-12 15:58:50,2017,7,Wednesday,15,TX,Euless,Partly Cloudy,93.9,44.0,10.0,16.1,,Day,0.733
3,2017-07-12 16:32:19,2017,7,Wednesday,16,PA,Harrisburg,Partly Cloudy,89.1,55.0,10.0,8.1,,Day,0.0
2,2017-07-12 17:04:29,2017,7,Wednesday,17,FL,Naples,Mostly Cloudy,80.1,87.0,10.0,8.1,,Day,0.0
3,2017-07-12 17:06:45,2017,7,Wednesday,17,CA,Hayward,Clear,72.0,46.0,10.0,17.3,,Day,0.0
3,2017-07-12 17:31:01,2017,7,Wednesday,17,CA,Cupertino,Clear,69.1,68.0,10.0,12.7,,Day,0.0
2,2017-07-12 17:45:16,2017,7,Wednesday,17,TX,Houston,Mostly Cloudy,91.0,52.0,10.0,9.2,,Day,0.0
3,2017-07-12 18:30:55,2017,7,Wednesday,18,FL,Fort Lauderdale,Overcast,82.9,88.0,10.0,8.1,0.15,Day,0.0
2,2017-07-12 18:40:02,2017,7,Wednesday,18,CA,Sacramento,Clear,91.4,20.0,10.0,9.2,,Day,0.0
3,2017-07-12 19:12:54,2017,7,Wednesday,19,FL,Miami,,,,,,,Day,0.0
3,2017-07-12 19:49:47,2017,7,Wednesday,19,MD,Frederick,Clear,89.6,46.0,10.0,5.8,,Day,2.047
2,2017-07-12 21:05:49,2017,7,Wednesday,21,TX,Houston,Clear,84.2,70.0,10.0,9.2,,Night,0.0
4,2017-07-12 23:42:14,2017,7,Wednesday,23,OH,Akron,Clear,77.0,76.0,10.0,6.9,,Night,0.908
2,2017-07-13 07:13:25,2017,7,Thursday,7,CA,San Jose,Clear,57.2,88.0,10.0,8.1,,Day,0.2199999988079071
2,2017-07-13 08:15:51,2017,7,Thursday,8,OH,Miamisburg,Mostly Cloudy,75.9,91.0,9.0,4.6,0.09,Day,0.0
2,2017-07-13 09:22:47,2017,7,Thursday,9,TX,Dallas,Clear,86.0,62.0,13.0,10.4,,Day,3.667
3,2017-07-13 10:30:07,2017,7,Thursday,10,WA,Seattle,Overcast,64.9,70.0,10.0,5.8,,Day,0.0
2,2017-07-13 11:00:48,2017,7,Thursday,11,CA,Carmichael,Clear,80.6,39.0,9.0,5.8,,Day,0.0
2,2017-07-13 12:12:32,2017,7,Thursday,12,CA,San Mateo,Clear,68.0,68.0,10.0,8.1,,Day,0.0
